X,Y,id,x,y,z,dip_dir,dip_ang,descript
-1488.326572230823103,-288615.854248865041882,2,-1488.326572230823103,-288615.854248865041882,-3817.984468052611192,294.124549416161244,4.251100985300923,thin_bright
-1486.176436351089706,-288613.396950716793071,2,-1486.176436351089706,-288613.396950716793071,-3817.589174244782043,294.124549416161244,4.251100985300923,thin_bright
-1485.562111814023183,-288611.707558239868376,2,-1485.562111814023183,-288611.707558239868376,-3817.670572775998608,294.124549416161244,4.251100985300923,thin_bright
-1484.41025330702314,-288610.402118598576635,2,-1484.410253307023140,-288610.402118598576635,-3817.373847551798008,294.124549416161244,4.251100985300923,thin_bright
-1483.258394800023325,-288609.250260091561358,2,-1483.258394800023325,-288609.250260091561358,-3817.179611028773706,294.124549416161244,4.251100985300923,thin_bright
-1482.644070262956575,-288608.175192151742522,2,-1482.644070262956575,-288608.175192151742522,-3817.312333289088656,294.124549416161244,4.251100985300923,thin_bright
-1481.338630621690072,-288606.409009107621387,2,-1481.338630621690072,-288606.409009107621387,-3817.279660946534477,294.124549416161244,4.251100985300923,thin_bright
-1480.493934383223404,-288605.564312869159039,2,-1480.493934383223404,-288605.564312869159039,-3817.164014861790292,294.124549416161244,4.251100985300923,thin_bright
-1479.342075876223362,-288604.258873227925505,2,-1479.342075876223362,-288604.258873227925505,-3816.990283366535095,294.124549416161244,4.251100985300923,thin_bright
-1478.497379637756694,-288602.7998524523573,2,-1478.497379637756694,-288602.799852452357300,-3817.010250216489112,294.124549416161244,4.251100985300923,thin_bright
-1477.115149429356734,-288600.880088274076115,2,-1477.115149429356734,-288600.880088274076115,-3816.896035599370407,294.124549416161244,4.251100985300923,thin_bright
-1476.040081489490149,-288599.958601468475536,2,-1476.040081489490149,-288599.958601468475536,-3816.670041249867154,294.124549416161244,4.251100985300923,thin_bright
-1475.656128653823544,-288598.960324095736723,2,-1475.656128653823544,-288598.960324095736723,-3816.798085060564063,294.124549416161244,4.251100985300923,thin_bright
-1474.581060713956958,-288597.270931618753821,2,-1474.581060713956958,-288597.270931618753821,-3816.799015400559711,294.124549416161244,4.251100985300923,thin_bright
